Class,Precision,Recall,AP@0.5
bus,0.9919368951903995,0.8928571428571429,0.895
car,0.8782887277076643,0.7142857142857143,0.8421369169462847
motorcycle,0.9836463561662462,1.0,0.995
truck,1.0,0.9846153459354078,0.995
